Timestamp,Class,Confidence,Pos_X,Pos_Y,Altitude_M,Snapshot_File
20260909_141911_956,car,0.73,27.95,28.22,19.26,car_20260909_141911_956.jpg
20260909_141914_280,car,0.66,29.09,26.78,19.11,car_20260909_141914_280.jpg
20260909_141918_183,car,0.66,30.19,26.13,19.03,car_20260909_141918_183.jpg
20260909_141928_701,car,0.48,28.27,25.44,18.47,car_20260909_141928_701.jpg
20260909_141955_429,car,0.56,-1.70,19.01,15.18,car_20260909_141955_429.jpg
20260909_142001_149,car,0.45,-1.22,15.29,14.84,car_20260909_142001_149.jpg
20260909_142018_883,car,0.45,1.85,0.37,13.28,car_20260909_142018_883.jpg
20260909_142021_829,car,0.58,2.76,0.75,13.23,car_20260909_142021_829.jpg
20260909_142023_582,car,0.47,3.58,1.06,13.20,car_20260909_142023_582.jpg
20260909_142025_337,car,0.49,4.38,1.29,13.18,car_20260909_142025_337.jpg
20260909_142030_412,car,0.51,6.03,-1.98,16.87,car_20260909_142030_412.jpg
20260909_142032_940,car,0.51,6.93,-1.37,16.83,car_20260909_142032_940.jpg
20260909_142034_675,car,0.50,7.53,-1.24,16.78,car_20260909_142034_675.jpg
20260909_142040_470,car,0.48,8.42,-2.16,17.57,car_20260909_142040_470.jpg
20260909_142043_454,car,0.66,9.20,-2.05,17.56,car_20260909_142043_454.jpg
20260909_142057_657,car,0.49,10.87,-1.95,17.51,car_20260909_142057_657.jpg
20260909_142059_383,car,0.47,11.30,-1.83,17.47,car_20260909_142059_383.jpg
20260909_142102_160,car,0.53,12.19,-1.64,17.39,car_20260909_142102_160.jpg
20260909_142103_983,car,0.51,12.85,-1.51,17.42,car_20260909_142103_983.jpg
20260909_142109_025,car,0.48,15.17,-1.02,17.21,car_20260909_142109_025.jpg
20260909_142112_204,car,0.46,15.21,-1.14,17.29,car_20260909_142112_204.jpg
20260909_142116_147,car,0.50,17.66,-0.57,17.30,car_20260909_142116_147.jpg
20260909_142120_709,car,0.48,21.20,0.56,17.34,car_20260909_142120_709.jpg
20260909_142122_396,car,0.45,22.77,1.20,17.32,car_20260909_142122_396.jpg
20260909_142124_688,car,0.64,24.30,1.79,17.27,car_20260909_142124_688.jpg
20260909_142128_198,car,0.60,25.35,1.80,17.39,car_20260909_142128_198.jpg
20260909_142130_174,car,0.48,27.01,2.70,17.35,car_20260909_142130_174.jpg
20260909_142132_460,car,0.51,27.88,3.01,17.29,car_20260909_142132_460.jpg
20260909_142138_028,car,0.51,28.71,3.09,17.22,car_20260909_142138_028.jpg
